"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000197768",10.6745619359253,-2.13737421710025,1.74293855496701,0.0185094413139602,0.0402025540767484
"ENSG00000250221",12.5747960290441,1.58612919144146,1.18985230592276,0.0185164145418359,0.0402140109252475
"ENSG00000229666",18.0958360387251,-1.63099365771301,1.23669420138599,0.0185348585931018,0.0402503757597791
"ENSG00000236257",31.3327764704974,0.876510905970089,0.485943930195838,0.0185459222588091,0.0402707081182889
"ENSG00000117016",120.112965883711,-0.670512072520174,0.33709079819001,0.0185841551822024,0.0403486109623036
"ENSG00000144655",607.410990473907,-0.770206852783832,0.405528224255443,0.0185852072118462,0.0403486109623036
"ENSG00000173157",6.64421630625726,-2.16954538184466,1.77756786710989,0.0186168726141295,0.0404136511309017
"ENSG00000114416",3701.80766766129,0.338843758291063,0.150133328080499,0.0186219684286981,0.0404173019054253
"ENSG00000241127",329.374868923831,-0.463610658372292,0.213819233695264,0.0186204040871826,0.0404173019054253
"ENSG00000197927",101.06066538661,-0.611316118009874,0.299485920991332,0.0186243921806173,0.0404188573474312
"ENSG00000137101",7.99652607360056,2.02273567992318,1.63358128453192,0.0186333605182185,0.0404346143332288
"ENSG00000154198",2.84641206649278,-2.77837877626803,2.39367373795816,0.0186459622451876,0.0404582522066813
"ENSG00000155256",967.721136102993,0.380368478901374,0.170629686802011,0.0186737348463339,0.0405148006924445
"ENSG00000175746",3.05656901251426,2.70046067684434,2.3120803734412,0.0186774926727508,0.0405192407928094
"ENSG00000167900",4308.19854873191,-0.670810811535949,0.33772287966149,0.0186980020627741,0.040560017850692
"ENSG00000197903",910.829572763992,-0.730825199674301,0.378265601019077,0.0187061083832901,0.0405738849570502
"ENSG00000059378",723.848314788631,0.467693597053396,0.216255973953376,0.0187259745889897,0.0406132545885782
"ENSG00000144290",3.14397969121558,-2.83247259210835,2.45669952042572,0.0187338700798138,0.0406266570690375
"ENSG00000165240",435.50398091026,-0.562513266959456,0.270263665387868,0.0187649361249343,0.0406903006346798
"ENSG00000260907",5.4074716116104,1.9014417206643,1.51720782139445,0.0187973989500005,0.0407569610750148
"ENSG00000154262",3.11454431939629,2.70494328633131,2.32343436092941,0.0188365562420504,0.0408381230787498
"ENSG00000148468",822.910703658513,-0.787006332766932,0.419029246382388,0.0188390815856826,0.0408398585153092
"ENSG00000168078",1741.7944442354,-0.658127736157116,0.33000638768304,0.0188492260858814,0.0408581091307712
"ENSG00000062598",1239.02756077859,0.357053319526455,0.159355517061765,0.0188650609125848,0.0408886897864582
"ENSG00000166377",376.773137268077,0.520405300487962,0.245976974530849,0.0188682807589461,0.0408919252658642
"ENSG00000180658",27.5570395189461,1.06064543659539,0.650747337498147,0.0189083372165723,0.040974986296612
"ENSG00000197910",3.32155885678334,2.73751652754605,2.36128073789959,0.0189109758324459,0.0409769538560284
"ENSG00000104889",1570.00260353409,-0.509603948101744,0.23997814793688,0.0189302795273062,0.0410150282181579
"ENSG00000214867",8.38407466945392,-1.38794581106811,0.988665427246762,0.0189404257286897,0.0410303341560418
"ENSG00000138678",203.285815139496,0.77906823467395,0.413733281271301,0.0189408097447116,0.0410303341560418
"ENSG00000100084",1876.80600313837,0.325489945758013,0.144143250209858,0.0189489438821873,0.041044199460118
