"ENSEMBL","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000178226",29.2938100886698,-1.76818692084074,0.517864372766775,3.43735362560813e-05,0.000128308721099675
"ENSG00000172915",61.8143024517038,-2.22708343055071,0.674527285325317,3.45786547571039e-05,0.000129054036677798
"ENSG00000221923",307.346765344751,1.36025892589142,0.379294788636855,3.46156459262836e-05,0.000129156787233432
"ENSG00000175040",51.5047416296548,1.41557570565777,0.397771749591684,3.49478241754395e-05,0.000130370195840851
"ENSG00000244485",18.9036257714302,-2.73643571888462,0.830188688118643,3.5046410537367e-05,0.000130696780956566
"ENSG00000154162",7.91266368666331,-5.85683617297154,1.61592418666817,3.50837751641776e-05,0.000130815518828698
"ENSG00000263427",16.9102855426935,-4.72893378561516,1.31870665198039,3.51400579065468e-05,0.000130984123276655
"ENSG00000198003",24.0685270424023,-4.50587017847928,1.26437565603981,3.51391330591083e-05,0.000130984123276655
"ENSG00000150054",421.671951667931,0.89934381419044,0.237295810099375,3.51879607877955e-05,0.000131142034876851
"ENSG00000168243",27.4437992591169,-2.98183286711073,0.897664216450199,3.53786922880654e-05,0.000131832121074052
"ENSG00000261186",14.7758376672859,-3.6452240585153,1.06177686242238,3.53958203028439e-05,0.000131868825439304
"ENSG00000251169",15.7400729506638,-4.63833264915244,1.29735959812148,3.53996813148717e-05,0.000131868825439304
"ENSG00000172031",217.958663780836,-1.91035024735517,0.568680886041934,3.54335127022038e-05,0.00013197408844582
"ENSG00000157219",8.97140731294655,-5.99560133292102,1.65746729310809,3.54966708464762e-05,0.00013218853029758
"ENSG00000142687",2778.06507812882,-0.926687733204512,0.245528088652686,3.55261286935655e-05,0.000132277425550802
"ENSG00000224984",9.28303928950408,5.79686321279312,1.60097242985852,3.55595309022103e-05,0.000132380976913779
"ENSG00000167700",730.377183205791,-0.777778883744068,0.201984169277829,3.55930966294755e-05,0.000132485104369768
"ENSG00000168209",14234.5830933685,1.58044279782649,0.454156677753761,3.56532145869661e-05,0.000132667163566808
"ENSG00000137364",1200.27638630385,0.724447585135445,0.186696018526334,3.56492913019098e-05,0.000132667163566808
"ENSG00000198155",29.7159158713652,3.11098650984589,0.932056534122109,3.57718376633372e-05,0.000133087649332941
"ENSG00000162840",17.4015854777315,3.38781672331067,1.00145316843718,3.59454832020728e-05,0.00013369167542813
"ENSG00000249279",8.59648959949424,5.7129161423743,1.57912546431147,3.59686465548434e-05,0.000133756815529924
"ENSG00000163348",1788.61851404912,-0.686688464422368,0.176136593262607,3.61864916094482e-05,0.000134524660360638
"ENSG00000220201",93.2604123585161,-1.31123934266745,0.364568012636239,3.6183076698072e-05,0.000134524660360638
"ENSG00000238018",21.9696475457409,4.49832444953975,1.26671312127747,3.64436544352643e-05,0.000135459404405613
"ENSG00000076382",3165.73124123082,-1.1488891301956,0.313357670885488,3.65307562682936e-05,0.000135761845262029
"ENSG00000110852",8.64119918194673,5.71650342090196,1.58261341621553,3.65850371158477e-05,0.000135942235372242
"ENSG00000249378",7.78056147584166,-5.83522321349828,1.61689859637258,3.67877528966787e-05,0.000136674035043882
