gene_id,SRR2085160,SRR2085161,SRR2085162,SRR2085163,SRR2085164,SRR2085165
ENSG00000272084,14,28,27,21,33,23
ENSG00000053372,1046,1548,1586,6181,2120,3569
ENSG00000077549,3747,4093,4027,10630,8368,9109
ENSG00000240490,0,0,0,0,3,0
ENSG00000235185,0,0,0,0,0,0
ENSG00000270136,0,0,0,0,0,0
ENSG00000173436,721,900,1018,3407,1778,2244
ENSG00000158747,145,58,33,5387,5292,3539
ENSG00000226396,5,7,15,22,16,17
ENSG00000188257,35,94,104,0,0,0
ENSG00000169914,278,617,662,480,620,588
ENSG00000158786,5,0,6,0,0,6
ENSG00000127472,13,39,29,0,0,0
ENSG00000162542,798,1134,1046,500,428,368
ENSG00000158816,6,0,0,0,0,0
ENSG00000226664,0,0,0,0,0,0
ENSG00000162545,94,299,370,6012,3478,5128
ENSG00000090432,600,844,749,2276,1528,1792
ENSG00000227001,19,26,20,18,72,18
ENSG00000187952,10,30,21,55,36,66
ENSG00000117298,531,818,797,4646,6918,3918
ENSG00000236936,0,0,0,0,2,0
ENSG00000231105,0,0,0,3,10,0
ENSG00000142794,85,167,153,700,518,619
ENSG00000176378,0,0,2,0,0,4
ENSG00000076864,618,778,779,46,62,44
ENSG00000228397,0,2,0,0,2,10
ENSG00000218510,100,209,179,171,259,132
ENSG00000090686,967,1684,1331,2880,2316,2295
ENSG00000231978,0,0,0,0,0,0
ENSG00000187942,22,14,16,492,305,325
ENSG00000142798,199,799,437,9014,24475,13151
ENSG00000232037,1,0,1,0,2,2
ENSG00000158828,352,331,398,1014,1373,1042
ENSG00000244038,3295,4857,4775,13583,12031,11626
ENSG00000117245,0,0,0,32,0,20
ENSG00000235432,0,0,0,0,0,0
ENSG00000189410,0,12,0,4158,1726,3494
ENSG00000233069,0,0,0,0,0,3
ENSG00000203394,0,0,0,0,0,0
ENSG00000127483,2121,4682,4772,6241,7674,6235
ENSG00000075151,1930,3202,2608,3738,5739,4153
ENSG00000251914,0,0,1,0,0,0
ENSG00000221808,0,0,0,0,0,0
ENSG00000233072,0,0,0,0,0,0
ENSG00000235112,0,1,1,0,0,1
ENSG00000117242,652,628,673,1893,1711,1408
ENSG00000257033,1,1,1,2,1,1
ENSG00000236073,3,0,0,0,0,0
ENSG00000266867,1,0,0,0,0,0
ENSG00000271840,4,5,3,3,3,0
ENSG00000162552,19,36,17,28,52,20
ENSG00000271428,0,0,0,3,2,1
ENSG00000070831,4404,5469,5158,15398,11099,11998
ENSG00000230068,2,0,0,2,2,3
ENSG00000070886,0,0,0,0,3,0
ENSG00000184677,1092,1620,1554,1379,1269,1281
ENSG00000237200,2,6,3,0,3,3
ENSG00000272796,3,8,2,2,3,0
ENSG00000227868,0,0,8,0,6,0
ENSG00000133216,122,157,126,540,227,642
ENSG00000265422,0,0,0,0,0,0
ENSG00000216157,0,0,0,0,0,0
ENSG00000225952,0,0,0,0,0,0
ENSG00000264014,1,0,1,0,0,0
ENSG00000215381,1,0,0,1,1,0
ENSG00000261326,24,112,173,74,138,100
ENSG00000240553,0,0,0,0,0,0
ENSG00000263793,0,0,0,0,0,0
ENSG00000169641,491,1082,863,6860,9141,7708
ENSG00000229010,0,0,0,0,3,0
ENSG00000206935,0,0,0,0,1,0
ENSG00000252578,0,0,0,0,0,0
ENSG00000004487,2488,4668,3771,6690,4740,4887
ENSG00000266802,1,0,0,0,0,0
ENSG00000271420,3,3,2,0,0,2
ENSG00000125945,186,309,366,686,1072,1035
ENSG00000249087,5,52,58,70,112,87
ENSG00000201405,0,1,1,1,1,1
ENSG00000204219,139,160,134,77,96,73
ENSG00000232482,0,0,0,0,0,0
ENSG00000088280,272,355,248,267,266,326
ENSG00000125944,3869,7262,7261,11488,6619,8565
ENSG00000197880,0,0,0,0,0,0
ENSG00000007968,728,1122,922,222,18,156
ENSG00000235052,14,16,16,3,0,0
ENSG00000117318,2526,1335,1214,806,640,886
ENSG00000203589,0,0,3,0,0,0
ENSG00000011007,2100,3006,2920,6054,3277,4648
ENSG00000236810,52,64,70,25,17,29
ENSG00000142676,15151,19847,20632,34002,25849,25583
ENSG00000244609,2,2,0,0,0,0
ENSG00000057757,1661,1320,1122,2084,1141,1371
ENSG00000117305,569,697,589,1073,1526,909
ENSG00000179163,375,420,474,901,1072,1118
ENSG00000188822,3,0,0,0,0,0
ENSG00000264347,0,0,0,0,0,0
ENSG00000238538,0,0,0,0,0,0
ENSG00000232557,0,0,0,0,0,0
ENSG00000264926,0,0,0,0,0,0
ENSG00000230228,0,0,0,1,0,1
ENSG00000229106,1,2,0,0,1,1
ENSG00000011009,1788,1560,1631,5185,3415,4397
ENSG00000117308,1458,2062,2024,2667,2723,2330
ENSG00000189266,1085,1936,1801,1916,1838,1691
ENSG00000142677,34,33,7,262,169,133
ENSG00000225315,0,0,0,0,0,0
ENSG00000142661,13,10,0,33,81,29
ENSG00000230703,0,0,0,0,0,0
ENSG00000188529,1229,2012,1816,2642,1865,2125
ENSG00000232298,0,0,0,0,6,0
ENSG00000158055,14,20,16,372,336,393
ENSG00000001460,180,250,233,897,1067,638
ENSG00000001461,1052,1297,1031,3014,3085,2670
ENSG00000117602,728,817,663,1509,1998,1555
ENSG00000266551,0,0,0,0,0,0
ENSG00000264443,0,0,0,0,0,0
ENSG00000133226,2068,3589,3608,5682,3740,4779
ENSG00000238986,0,0,0,0,2,2
ENSG00000231953,0,0,0,0,0,0
ENSG00000169504,1679,3747,3558,6498,13805,6505
